"가락시장",66,0,0,0,0,170,471,1354,1739,1141,837,882,908,966,790,944,1174,1369,2193,1084,813,800,588,336,18625,1157.223,868.944,38
"가산디지털단지",139,0,0,0,0,186,359,898,981,740,741,830,1138,1494,1487,1765,1984,4749,13634,7840,4765,4944,2794,1123,52591,390.518,763.918,17
"강남",871,0,0,0,9,419,963,2524,4213,3052,2511,3350,4194,5021,4721,5990,6214,9153,15840,10927,8651,11049,10937,4679,115288,889.279,908.681,2
"강남구청",122,0,0,0,0,90,219,482,646,492,515,592,675,733,806,1061,1119,1541,3846,2845,1739,1775,1480,556,21334,985.804,752.112,7
"강동",48,0,0,0,0,363,870,3229,4095,1856,1138,950,962,934,776,780,866,1478,1898,1145,764,550,450,197,23349,1264.418,716.373,5
"강동구청",17,0,0,0,0,144,452,1656,2292,1161,679,565,522,560,489,564,825,759,1342,668,379,343,265,134,13816,1194.134,748.703,8
"강변",150,0,0,0,1,422,1258,4939,7353,4039,2777,2574,2343,2485,2461,2392,2412,3156,3449,2588,1865,1555,1400,614,50233,1096.235,670.037,2
"개화산",6,0,0,0,0,133,364,1295,1036,550,303,267,332,300,323,285,359,464,727,389,250,151,110,58,7702,201.505,530.358,5
"거여",4,0,0,0,0,168,486,1706,1550,688,429,353,364,317,338,518,361,434,603,282,191,202,132,66,9192,1314.81,896.19,5
"건대입구",607,0,0,0,4,701,1333,4000,6680,3805,2198,2153,2438,2744,2630,2984,3216,4656,5420,4087,4269,4845,4561,2539,65870,1077.788,603.785,27
"경복궁",69,0,0,0,2,92,239,730,1181,1004,820,1370,1406,1524,1437,1941,2368,2978,4776,1993,1768,1782,1412,487,29379,719.128,313.009,3
"경찰병원",15,0,0,0,0,81,303,1110,1199,620,506,460,407,398,374,482,460,563,1071,426,299,291,195,77,9337,1241.478,840.421,3
"고덕",30,0,0,0,0,113,431,1373,1167,721,541,500,701,516,519,703,669,755,775,342,280,353,256,101,10846,1355.677,671.859,5
"고려대",31,0,0,0,0,115,287,1245,1600,641,420,371,546,648,442,718,752,1026,1329,695,612,729,660,262,13129,1025.302,331.115,6
"고속터미널",235,0,0,0,0,362,539,1891,3250,3036,2717,3143,3697,4413,4437,4819,5147,6222,7353,5806,5904,4486,3344,1299,72100,850.837,837.545,37
"공덕",156,0,0,0,0,279,577,1941,2835,1442,1321,1402,1272,1562,1673,2135,1917,2903,7095,3779,2471,2429,1748,945,39882,620.999,617.697,56
"공릉",76,0,0,0,0,250,587,2048,2134,982,594,615,642,664,589,706,1319,979,1185,717,601,650,574,244,16156,1193.903,282.891,7
"광나루",39,0,0,0,0,160,600,2151,2846,1331,863,784,770,823,657,711,949,1232,1652,868,538,582,1038,233,18827,1137.21,656.679,5
"광명사거리",55,0,0,0,0,775,1719,5533,6631,2808,1369,1244,1282,1190,1031,1017,1183,1528,1688,1055,770,745,530,251,32404,330.852,768.553,7
"광화문",131,0,0,0,0,54,171,550,819,794,868,1188,1419,1748,1698,2134,2221,3438,8956,4455,3284,4023,2566,899,41416,683.564,369.616,5
"광흥창",37,0,0,0,0,98,291,891,1210,646,555,531,492,522,501,548,615,819,1401,843,506,445,327,161,11439,539.321,601.189,6
"교대",301,0,0,0,1,181,670,1943,2728,2191,2306,3163,2533,3315,4094,4433,3929,5831,10581,5620,3932,4408,4112,1802,68074,846.203,910.047,23
"구로디지털단지",245,0,0,0,7,1596,2224,7518,9739,5039,2752,2349,2441,2577,2325,2437,2821,4097,9449,6021,3585,3611,2851,1432,75116,500.574,802.592,2
"구산",18,0,0,0,0,158,433,1428,1682,714,535,450,448,349,335,469,523,412,481,277,206,177,195,80,9370,385.971,343.656,6
"구의",58,0,0,0,1,448,956,3308,5305,2547,1395,1279,1195,1211,1079,1156,1251,1553,2191,1106,797,825,677,363,28701,1093.556,637.513,2
"구파발",12,0,0,0,4,288,1154,3897,3798,1767,1115,903,652,686,538,722,901,816,821,457,270,226,190,85,19302,331.775,313.009,3
"군자",116,0,0,0,0,450,972,3452,5163,2310,1146,994,1086,1042,1056,995,1078,1552,2311,1594,1092,1143,1081,578,29211,1137.211,608.45,57
"굽은다리",21,0,0,0,0,205,531,2010,2006,920,592,461,582,492,439,425,570,541,691,366,307,254,263,69,11745,1327.622,709.451,5
"금호",22,0,0,0,0,166,367,1299,1748,1015,537,447,404,396,353,342,420,449,460,322,243,210,158,79,9437,892.776,572.028,3
"길동",12,0,0,0,0,152,341,1332,1522,717,413,345,412,394,349,408,411,494,741,395,301,263,236,86,9324,1300.476,716.373,5
"길음",60,0,0,0,2,393,1542,5465,5519,2644,1542,1348,1311,1238,1413,1287,1672,2039,2565,1335,1115,970,887,462,34809,945.448,299.641,4
"김포공항",20,0,0,0,0,18,96,307,314,256,229,258,326,363,438,506,499,661,866,736,581,558,448,162,7642,196.871,562.553,5
"까치산",46,0,0,0,0,879,1744,6480,7369,3016,1675,1374,1325,1259,990,991,1049,1310,1340,963,629,593,414,246,33692,345.771,650.367,25
"낙성대",124,0,0,0,1,494,1169,4665,6517,3083,1427,1271,1225,1319,1136,1191,1483,1853,2524,1615,1111,1227,907,525,34867,705.295,905.413,2
"남구로",56,0,0,0,0,562,750,1868,2077,1157,678,560,630,633,595,609,733,1033,2949,1956,1085,894,676,318,19819,444.704,768.553,7
"남부터미널",107,0,0,0,0,109,387,1314,2225,1581,1403,1614,1746,1897,1911,1903,2408,3464,6885,3470,2196,2245,1840,764,39469,861.91,944.582,3
"남성",33,0,0,0,0,206,486,1959,2817,1379,768,627,559,624,434,541,572,628,684,485,310,366,306,146,13930,724.94,841.584,7
"남태령",0,0,0,0,0,25,29,104,130,83,52,65,46,52,42,30,145,106,149,36,21,23,16,8,1162,757.353,946.698,4
"내방",65,0,0,0,0,79,303,901,1486,941,677,635,753,750,653,773,873,1401,3011,1457,877,1000,831,306,17772,803.566,841.584,7
"노원",207,0,0,0,2,659,1896,5079,5487,3379,2520,2291,2383,2421,2344,2607,2722,3095,3470,2500,2599,2164,1993,1040,50858,1063.814,192.852,47
"녹번",14,0,0,0,0,331,985,3206,3914,1828,1085,923,802,769,674,548,699,774,968,482,324,336,228,104,18994,504.454,313.009,3
"녹사평",14,0,0,0,0,43,97,287,494,292,246,222,240,251,222,326,366,497,664,366,283,339,290,146,5685,738.161,622.157,6
"논현",203,0,0,0,0,157,267,602,1033,724,674,613,727,851,824,941,1016,1622,4233,2875,1900,2158,1933,1074,24427,953.958,835.849,7
"답십리",39,0,0,0,0,313,683,2510,3338,1399,880,686,704,794,728,762,949,1242,1871,1087,671,598,438,213,19905,1110.581,518.04,5
"당고개",18,0,0,0,1,357,786,2383,2521,1366,890,618,629,658,548,607,722,743,655,406,262,221,187,82,14660,1063.813,127.57,4
"당산",78,0,0,0,1,309,821,2931,3532,2053,1263,1148,1129,1051,973,1124,1180,1706,2974,1680,1053,966,961,406,27339,477.653,613.96,2
"대림",94,0,0,0,12,1770,1940,5068,6687,3942,2005,1853,1974,1994,1776,1837,2190,2679,3925,2435,1693,1508,1075,527,46984,486.922,768.553,27
"대청",19,0,0,0,0,130,479,1747,2292,1011,660,502,525,592,507,725,701,1006,1517,716,481,411,342,100,14463,1082.793,962.105,3
"대치",41,2,0,0,1,94,540,1406,1595,894,642,544,663,662,552,631,758,1001,1038,738,611,617,780,193,14003,1005.979,962.105,3
"대흥",39,0,0,0,0,79,200,652,1040,548,430,401,335,503,507,557,719,1017,1396,735,509,548,643,239,11097,574.278,621.428,6
"도곡",20,0,0,0,0,43,243,829,1102,669,444,417,506,445,405,436,719,747,1123,616,437,440,291,88,10020,967.904,966.74,3
"도림천",1,0,0,0,0,19,30,106,83,69,89,57,45,49,50,59,155,104,137,72,25,32,16,11,1209,431.228,702.422,2
"도봉산",17,0,0,0,0,257,814,3014,2100,880,562,451,498,502,401,454,572,541,520,291,186,148,143,74,12425,956.056,192.853,17
"독립문",10,0,0,0,2,217,247,816,930,591,557,525,455,386,397,649,470,627,722,405,277,237,149,75,8744,661.654,313.009,3
"독바위",6,0,0,0,0,85,180,710,693,274,164,154,158,123,121,123,121,117,115,82,43,46,52,19,3386,412.847,271.974,6
"돌곶이",25,0,0,0,0,250,532,1831,2333,973,600,439,416,458,384,518,415,464,675,483,352,309,228,119,11804,1121.619,331.115,6
"동대문",129,1,0,0,21,942,824,1199,1659,1556,1767,2278,2611,2855,3193,3376,3691,5334,6053,3168,2172,1756,1679,791,47055,876.366,384.015,14
"동대문역사문화공원",394,0,0,0,10,660,568,807,1061,921,1032,1409,1540,1645,2111,2676,2673,3780,6074,4432,3198,2876,2598,1535,42000,871.891,447.234,245
"동대입구",48,0,0,0,0,41,133,345,423,298,279,405,457,642,582,862,935,1552,2194,1372,995,1281,885,325,14054,800.298,549.974,3
"동묘앞",39,0,0,0,5,259,324,861,1033,695,748,873,1051,1275,1068,1303,1725,1640,1829,1109,847,744,540,260,18228,945.523,384.014,16
"동작",5,0,0,0,1,18,58,258,372,198,139,139,97,107,114,120,112,162,229,90,54,49,43,20,2385,757.353,786.528,4
"둔촌동",14,0,0,0,0,189,633,2435,2874,1300,791,646,694,639,641,624,614,863,1195,752,503,699,452,158,16716,1305.66,742.184,5
"디지털미디어시티",58,0,0,0,0,269,697,2689,3101,1551,785,625,586,490,469,477,589,924,2678,1247,631,601,429,214,19110,410.349,461.301,6
"뚝섬",30,0,0,0,0,159,400,1423,1946,990,662,580,651,695,669,765,900,1168,2527,1618,836,878,816,240,17953,1053.888,547.665,2
"뚝섬유원지",18,0,0,0,0,146,404,1228,1714,911,407,318,365,323,283,281,312,393,476,327,195,192,132,104,8529,1002.496,620.333,7
"마곡",1,0,0,0,0,9,53,264,221,71,43,44,57,36,35,31,120,390,85,16,15,14,7,2,1514,211.598,622.481,5
"마들",20,0,0,0,0,314,942,3226,2741,1178,782,656,614,523,439,506,513,544,522,341,207,187,147,65,14467,1029.086,188.219,7
"마장",16,0,0,0,0,87,272,806,981,496,340,321,373,384,306,368,418,515,632,409,276,306,186,66,7558,1052.575,509.412,5
"마천",13,0,0,0,0,219,389,1494,1396,552,334,293,336,287,239,221,277,257,310,159,120,110,67,22,7095,1314.81,928.81,5
"마포",48,0,0,0,0,100,300,1170,1455,758,632,595,672,762,759,761,836,1396,2922,1436,1086,1052,906,398,18044,597.567,645.716,5
"마포구청",43,0,0,0,0,233,576,1931,2443,1365,767,653,739,684,637,673,968,977,1703,936,640,599,556,238,17361,455.598,506.923,6
"망원",34,0,0,0,0,195,478,1456,2024,1075,636,615,565,576,498,482,597,751,1183,746,476,524,377,176,13464,489.129,512.111,6
"매봉",32,0,0,0,2,47,250,867,1105,658,519,498,567,650,623,776,763,1130,2761,1282,790,791,648,233,14992,932.587,962.105,3
"먹골",29,0,0,0,0,231,509,1820,2138,993,593,480,466,481,443,424,490,569,756,505,344,310,225,112,11918,1193.903,362.101,7
"면목",32,0,0,0,0,422,896,2959,3592,1654,815,725,774,736,565,621,959,1162,866,805,557,451,479,190,19260,1193.903,468.831,7
"명동",174,0,0,0,4,36,84,210,363,628,809,995,1212,1481,1930,2318,3062,3584,5768,4274,3689,4676,4275,1452,41024,746.47,495.017,4
"명일",16,0,0,0,0,164,639,2061,1944,1060,624,529,559,497,445,446,485,557,565,274,260,344,168,44,11681,1345.212,694.504,5
"목동",57,0,0,0,0,271,925,3498,4246,1665,1089,1027,903,849,863,861,1019,1200,1533,854,650,620,632,244,23006,386.734,645.691,5
"몽촌토성",14,0,0,0,0,34,186,490,694,388,279,267,302,310,290,369,392,482,1045,474,340,312,300,114,7082,1139.439,755.559,8
"무악재",4,0,0,0,0,64,216,903,1047,512,267,296,229,231,202,168,216,238,333,134,97,93,69,29,5348,608.485,313.009,3
"문래",61,0,0,0,0,176,616,2278,2416,1200,821,875,914,907,791,902,1035,1612,4148,2157,1151,1165,911,389,24525,463.701,672.417,2
"문정",13,0,0,0,0,52,187,745,920,431,304,252,220,233,224,236,330,401,631,384,258,260,156,62,6299,1206.363,878.029,8
"미아",31,0,0,0,0,414,1037,3131,3405,1767,1138,1014,901,825,866,1078,1213,1228,1525,902,707,537,467,181,22367,1012.017,299.428,4
"미아사거리",104,0,0,0,1,646,1788,6324,6948,3334,1939,1645,1588,1714,1577,1690,1731,2153,2214,1602,1744,1085,782,421,41030,979.998,299.641,4
"반포",20,0,0,0,0,40,154,487,757,420,281,249,273,339,347,402,430,610,864,596,395,488,466,145,7763,899.452,841.584,7
"발산",23,0,0,0,0,96,339,1322,1429,552,442,403,507,495,627,586,780,927,1253,819,614,694,563,216,12687,240.573,642.882,5
"방배",102,0,0,0,0,141,453,1383,2212,1581,1306,1271,1244,1195,1333,1575,1765,2209,3578,1801,1392,1258,1179,447,27425,786.319,905.413,2
"방이",18,0,0,0,0,79,303,934,860,506,390,327,351,324,310,302,409,493,819,498,368,462,447,136,8336,1314.81,804.973,5
"방화",14,0,0,0,0,180,564,1696,1358,625,438,373,412,436,371,364,341,418,577,282,185,172,122,65,8993,201.505,488.426,5
"버티고개",5,0,0,0,0,36,83,305,477,324,218,196,159,142,127,140,114,203,309,173,121,120,73,38,3363,821.759,597.956,6
"보라매",20,0,0,0,0,196,316,1034,1554,770,475,483,449,486,489,566,819,677,1245,695,442,453,403,202,11774,570.167,768.595,7
"보문",20,0,0,0,0,129,313,1163,1817,822,486,361,400,377,370,365,401,654,775,501,331,302,274,151,10012,973.489,338.568,6
"복정",20,0,0,0,0,60,149,691,951,445,221,236,331,368,311,517,673,953,1188,527,296,307,251,94,8589,1227.969,957.916,8
"봉천",49,0,0,0,1,666,1272,4164,5689,2774,1301,1100,1109,1222,977,985,1114,1287,1510,984,713,750,489,296,28452,633.37,898.432,2
"봉화산",16,0,0,0,0,143,492,1948,2059,795,582,456,396,355,356,346,380,499,548,260,245,213,168,84,10341,1297.671,331.115,6
"불광",48,1,0,0,0,400,906,3621,3900,1804,1175,1165,1124,1227,1153,1353,1571,1662,2147,1175,971,905,772,309,27389,449.667,313.009,36
"사가정",58,0,0,0,0,369,868,2958,3657,1711,927,732,812,792,773,602,700,891,1035,827,578,482,419,248,19439,1193.903,512.938,7
"사당",593,0,0,0,4,901,2163,7534,11014,6542,3882,3256,3287,3999,3590,3476,4008,5562,7893,4959,4138,4936,5115,2789,89641,757.353,910.047,24
"삼각지",71,0,0,0,0,90,221,660,1033,763,539,532,598,665,650,654,810,1136,2269,1147,760,967,737,397,14699,700.659,626.967,46
"삼성",242,0,0,0,2,256,500,1075,1548,1458,1567,2055,2288,2882,3068,3721,4467,6882,14735,8390,6654,5905,4158,1433,73286,993.153,868.817,2
"상계",40,0,0,0,2,534,1857,5301,4473,2397,1444,1132,1046,1052,818,868,1054,1076,1039,735,472,655,455,205,26655,1063.813,159.064,4
"상도",35,0,0,0,0,157,491,1696,2271,1074,634,551,589,499,523,571,719,863,943,569,475,620,502,295,14077,638.004,841.584,7
"상봉",87,0,0,0,0,369,704,2505,3098,1426,810,732,751,733,659,734,820,1135,1618,1171,733,798,647,331,19861,1198.538,424.053,7
"상수",86,0,0,0,0,79,180,480,695,387,266,247,324,391,387,462,573,927,1104,781,712,833,1110,588,10612,527.319,571.154,6
"상왕십리",14,0,0,0,1,183,389,1245,2032,897,545,523,502,580,440,500,473,825,1075,675,463,378,252,111,12103,979.997,481.135,2
"상월곡",19,0,0,0,0,176,407,1337,1450,684,373,333,351,285,295,288,413,441,513,325,183,195,134,71,8273,1089.06,331.115,6
"상일동",13,0,0,0,0,285,898,3425,2909,1270,722,629,603,497,389,392,505,680,771,313,170,161,93,39,14764,1357.169,642.678,5
"새절",32,0,0,0,0,346,750,2556,3037,1369,744,549,646,584,559,676,857,965,999,477,545,457,427,147,16722,413.264,405.553,6
"서대문",50,0,0,0,0,111,196,619,947,567,683,876,871,817,939,1269,1412,2101,4726,2118,1534,1547,1104,386,22873,632.998,398.965,5
"서울대입구",226,0,0,0,141,1245,1972,6980,9656,4674,2457,2264,2393,2424,2226,2764,3109,4018,4693,2890,2264,2344,2127,1121,61988,666.998,904.413,2
"서울역",419,0,0,0,36,523,1058,3397,6165,4298,3796,4186,4679,4431,3974,4821,4727,6283,13616,7885,4904,4871,3553,2036,89658,696.025,556.367,14
"서초",69,0,0,0,0,76,1582,1025,1238,961,858,954,1128,1751,1568,1526,1519,2329,4775,2240,1382,1540,1323,420,28264,816.251,905.413,2
"석계",51,0,0,0,0,306,822,2795,3045,1459,887,699,700,686,593,628,715,834,910,561,437,406,378,240,17152,1147.517,330.408,16
"석촌",25,0,0,0,0,108,280,1214,1719,785,473,466,609,527,454,485,553,720,1154,734,468,422,330,146,11672,1074.151,825.533,8
"선릉",305,1,0,0,10,233,586,1284,1941,1704,1945,2341,2800,3182,3184,4039,4772,7157,13652,8087,4875,5373,4375,1722,73568,961.159,890.754,2
"성수",92,0,0,0,1,215,516,1206,1652,1185,842,987,1027,1323,1106,1177,1256,2157,6858,3975,1875,1790,1272,586,31098,1070.853,569.441,2
"성신여대입구",85,0,0,0,0,224,968,3051,3443,1911,1344,1312,1356,1325,1517,1840,1623,2389,2838,1725,1556,1650,1451,694,32302,918.757,301.516,4
"송정",38,0,0,0,0,153,497,1778,1879,981,628,515,498,551,469,424,594,752,942,643,416,373,284,172,12587,202.414,598.95,5
"송파",17,0,0,0,0,62,164,588,805,416,274,250,745,279,260,297,420,426,724,319,255,220,193,62,6776,1102.893,862.436,8
"수락산",23,0,0,0,0,355,1010,2868,2443,1409,950,769,901,715,739,647,726,750,942,517,300,312,277,104,16757,990.501,188.219,7
"수서",8,0,0,0,2,150,440,1233,1333,758,615,553,520,570,526,787,787,1377,1756,787,520,464,322,124,13632,1146.824,923.031,3
"수유",108,0,0,0,0,826,2352,7859,7908,4203,2671,2487,2360,2109,2066,2156,2326,2774,3554,2048,1493,1368,1111,651,52430,1044.615,285.471,4
"숙대입구",87,0,0,0,0,113,374,987,1472,920,823,810,766,969,1071,1268,1930,2104,3011,1745,1392,1313,1241,572,22968,700.66,587.402,4
"숭실대입구",83,0,0,0,0,202,598,2291,3173,1393,796,729,715,900,843,912,1391,1568,1549,1103,908,1054,882,496,21586,681.472,841.584,7
"시청",164,0,0,0,2,145,231,521,795,1037,1462,2214,2030,2491,2683,3332,3617,5244,13909,7451,4892,5105,3573,1484,62382,686.756,451.869,12
"신금호",12,0,0,0,0,106,235,810,1125,540,307,277,242,249,264,276,509,340,435,274,196,146,115,42,6500,951.5,509.412,5
"신길",5,0,0,0,0,71,108,341,514,182,115,99,98,127,106,120,141,185,507,186,123,124,99,42,3293,526.379,707.426,15
"신답",0,0,0,0,0,38,68,263,378,112,61,64,52,69,74,43,65,61,70,52,29,21,16,4,1540,1070.853,476.501,2
"신당",113,0,0,0,1,489,687,1505,2020,1258,1071,1205,1350,1262,1193,1359,1697,2076,2793,1958,1342,1274,1407,590,26650,944.71,459.676,26
"신대방",47,0,0,0,2,835,1386,4202,6136,3231,1546,1130,1146,1104,960,1027,1119,1260,1675,1079,714,610,482,245,29936,526.181,835.956,2
"신대방삼거리",48,0,0,0,0,365,685,2370,3647,1540,952,736,823,713,669,711,770,888,1236,813,617,523,457,215,18778,598.499,790.883,7
"신도림",183,0,0,0,115,1583,2490,8074,8485,4677,2952,2577,2846,2909,2592,2819,3142,4380,7311,4406,3536,4258,3292,1211,73838,470.729,707.018,12
"신림",235,1,0,0,11,1671,3304,11764,16297,7528,3666,2843,3059,2942,2555,2600,2903,3601,4555,2837,2375,2562,2139,1306,80754,560.389,864.359,2
"신사",175,0,0,0,2,204,312,693,1145,843,772,937,1091,1325,1408,1681,1849,2456,5224,4065,2745,3104,2883,1283,34197,888.606,742.598,3
"신설동",26,0,0,0,4,215,450,1139,1529,926,884,1133,1246,1299,1190,1416,1599,2252,3457,1898,980,839,676,298,23456,993.316,384.015,12
"신용산",81,0,0,0,1,56,181,482,772,477,473,503,564,688,608,779,728,1201,3108,1942,1139,815,728,310,15636,729.006,661.515,4
"신정",16,0,0,0,0,357,990,3562,3974,1566,806,662,571,593,451,437,536,583,782,483,313,225,183,84,17174,367.659,645.691,5
"신정네거리",11,0,0,0,4,338,733,2487,2427,1040,656,533,554,473,382,384,473,538,591,345,210,230,168,83,12660,357.372,681.369,2
"신천",151,2,0,0,1,261,866,3608,4793,2392,1528,1308,1297,1252,1076,1340,1346,1666,2122,1611,1254,1356,1285,649,31164,1042.793,825.062,2
"신촌",410,0,0,0,2,267,697,2250,2995,1744,1621,1781,2378,2695,2544,2898,3744,4897,5523,3894,4064,4495,4971,2526,56396,557.404,495.017,2
"신풍",28,0,0,0,0,418,623,1805,2562,1254,777,616,625,544,429,557,573,645,811,493,417,372,372,144,14065,528.883,768.573,7
"쌍문",60,0,0,0,1,800,2410,7512,7499,3680,2234,1731,1784,1614,1319,1168,1327,1562,1831,1207,775,658,530,306,40008,1060.18,262.92,4
"아차산",28,0,0,0,0,233,592,2102,3038,1339,867,739,682,838,779,838,742,881,1553,733,464,429,872,150,17899,1137.21,633.608,5
"아현",22,0,0,0,0,138,271,788,1203,671,484,436,492,501,451,528,965,991,832,542,302,317,257,119,10310,599.504,470.915,2
"안국",63,0,0,0,2,68,140,345,654,602,878,988,1815,1567,1779,2040,2625,3556,5416,2833,1963,2353,1597,507,31791,774.169,332.313,3
"안암",117,0,0,0,0,79,131,461,708,439,476,559,586,734,673,1262,1461,1970,2068,1259,1068,1392,1252,760,17455,998.72,331.187,6
"암사",25,0,0,0,0,414,1012,3765,4809,2000,1021,826,859,767,621,673,693,783,936,667,427,392,261,121,21072,1223.802,682.171,8
"압구정",94,0,0,0,1,125,432,935,1662,1034,1180,1534,1642,1841,2044,2552,2795,3518,6355,5295,4025,3116,2720,949,43849,916.953,703.674,3
"애오개",17,0,0,0,0,71,129,420,576,308,205,314,280,269,265,334,374,706,1048,450,218,228,171,58,6441,625.961,523.76,5
"약수",84,1,0,0,0,316,579,1821,2586,1618,1049,962,1027,1064,952,1112,1112,1484,2035,1375,1080,1093,776,368,22494,835.123,571.489,36
"양재",131,0,0,0,1,186,560,1870,2478,1752,1529,1585,1653,2213,2288,2580,3049,4647,10076,5279,3385,3525,3109,1123,53019,894.182,966.243,3
