"가락시장",2,0,0,0,0,99,127,199,359,450,473,484,591,566,482,615,603,502,477,346,300,325,221,118,7339,1157.223,868.944,38
"가산디지털단지",2,0,0,0,0,127,161,200,339,354,376,483,498,653,868,1069,1371,1618,1495,1208,1246,1545,583,222,14418,390.518,763.918,17
"강남",0,0,0,0,12,1041,913,720,971,1403,1357,2197,2459,3565,3419,4415,4946,5189,5008,4381,4558,5890,5381,2354,60179,889.279,908.681,2
"강남구청",0,0,0,0,0,89,139,135,157,296,222,253,429,584,506,649,519,624,669,603,542,747,598,164,7925,985.804,752.112,7
"강동",1,0,0,0,0,191,310,436,774,966,866,810,920,1047,912,774,798,648,581,523,496,438,283,123,11897,1264.418,716.373,5
"강동구청",0,0,0,0,0,86,146,192,349,443,417,356,401,406,409,414,364,331,308,209,240,180,162,67,5480,1194.134,748.703,8
"강변",0,0,0,0,6,205,405,819,1574,2163,2353,2936,2993,2890,2756,3155,3378,3620,3528,3437,3314,3186,2593,803,46114,1096.235,670.037,2
"개화산",2,0,0,0,0,92,122,194,262,320,291,295,291,272,239,255,244,251,231,156,123,97,93,28,3858,201.505,530.358,5
"거여",0,0,0,0,0,91,151,200,324,381,411,333,336,424,293,297,281,261,200,160,161,116,89,30,4539,1314.81,896.19,5
"건대입구",2,0,0,0,28,1186,1008,922,1581,2031,1827,1973,2299,2868,2827,3241,3679,3578,3391,3293,3864,3823,3632,1890,48943,1077.788,603.785,27
"경복궁",2,0,0,0,0,65,106,197,360,468,471,601,803,1103,1105,1093,1222,1213,1115,725,602,594,471,144,12460,719.128,313.009,3
"경찰병원",0,0,0,0,1,44,80,103,229,253,242,230,225,245,208,218,208,198,151,126,148,108,106,24,3147,1241.478,840.421,3
"고덕",0,0,0,0,0,70,76,134,299,271,292,281,377,365,330,373,383,347,285,351,242,182,154,62,4874,1355.677,671.859,5
"고려대",0,0,0,0,0,102,120,158,272,368,394,365,460,549,491,352,440,465,376,282,230,254,213,144,6035,1025.302,331.115,6
"고속터미널",3,0,0,0,0,394,327,669,1125,1855,2278,2796,3563,4130,4604,5512,6392,7030,6895,6778,7617,6765,5189,1712,75634,850.837,837.545,37
"공덕",6,0,0,0,0,171,254,288,537,752,751,757,968,973,924,1092,959,919,729,720,707,665,597,240,13009,620.999,617.697,56
"공릉",1,0,0,0,0,139,202,280,527,653,590,614,643,687,500,563,512,485,388,346,362,292,281,109,8174,1193.903,282.891,7
"광나루",1,0,0,0,0,109,271,327,494,646,613,607,612,687,660,639,954,743,608,535,417,432,398,116,9869,1137.21,656.679,5
"광명사거리",5,0,0,0,0,406,524,733,1265,1560,1507,1309,1339,1460,1334,1200,1254,1225,1013,832,951,765,508,213,19403,330.852,768.553,7
"광화문",1,0,0,0,0,44,80,143,238,299,363,485,785,1070,1309,1617,1923,1891,1754,1641,1666,1529,922,268,18028,683.564,369.616,5
"광흥창",2,0,0,0,0,59,113,118,228,309,385,333,438,353,329,314,362,357,322,230,232,220,163,69,4936,539.321,601.189,6
"교대",0,0,0,0,5,155,349,380,594,762,832,904,1324,1396,1316,1447,1513,1792,2022,1414,1431,1778,1797,539,21750,846.203,910.047,23
"구로디지털단지",0,0,0,0,5,788,836,1119,2055,2669,2273,2126,2311,2330,2192,2253,2215,2403,1917,1874,1524,1281,1049,390,33610,500.574,802.592,2
"구산",0,0,0,0,0,81,113,154,312,372,317,329,318,477,338,376,275,317,225,210,182,130,112,34,4672,385.971,343.656,6
"구의",0,0,0,0,3,246,383,465,831,1167,925,878,1000,1010,867,944,910,767,713,620,562,511,388,177,13367,1093.556,637.513,2
"구파발",2,0,0,0,3,143,255,390,705,858,859,842,893,919,722,926,1007,851,673,432,353,227,134,49,11243,331.775,313.009,3
"군자",11,0,0,0,0,296,419,559,922,1129,1064,982,1029,1071,1049,1034,1175,1054,906,871,948,860,750,329,16458,1137.211,608.45,57
"굽은다리",0,0,0,0,0,92,138,256,447,466,512,513,605,591,445,510,409,361,376,227,182,287,235,44,6696,1327.622,709.451,5
"금호",0,0,0,0,0,83,148,238,368,470,414,351,426,436,441,328,381,305,283,234,203,175,99,42,5425,892.776,572.028,3
"길동",0,0,0,0,0,83,127,175,292,343,381,298,376,356,324,313,278,277,278,221,190,194,138,50,4694,1300.476,716.373,5
