"가락시장",23,0,0,0,1,189,540,1635,1656,1106,885,853,799,853,861,982,1163,1192,2001,1249,844,837,668,301,18638,1157.223,868.944,38
"가산디지털단지",0,0,0,0,0,226,368,886,887,674,708,841,973,1332,1295,1539,1784,3750,12835,8279,5237,5333,2978,1147,51072,390.518,763.918,17
"강남",769,0,0,0,3,383,1598,2809,4313,3207,2837,3463,3956,5079,4817,5988,6215,8439,14623,11498,9093,11134,11439,4167,115830,889.279,908.681,2
"강남구청",0,0,0,0,0,76,241,551,687,532,472,500,626,692,741,1093,1083,1518,3511,2660,1801,1877,1411,601,20673,985.804,752.112,7
"강동",0,0,0,0,0,391,1055,3681,3962,1839,1144,954,972,847,811,734,864,1218,1891,1206,859,675,449,196,23748,1264.418,716.373,5
"강동구청",0,0,0,0,0,173,546,1893,2042,958,581,526,492,500,445,479,499,696,1274,723,459,481,280,107,13154,1194.134,748.703,8
"강변",126,0,0,0,0,421,1562,5953,8076,4358,3028,2819,2432,2402,2325,2323,2544,3087,3594,2863,1927,1538,1428,568,53374,1096.235,670.037,2
"개화산",1,0,0,0,0,148,478,1403,1059,491,309,276,266,287,265,336,256,417,740,362,315,163,176,43,7791,201.505,530.358,5
"거여",0,0,0,0,0,180,580,1878,1482,628,429,327,414,324,303,288,511,401,556,295,216,205,151,57,9225,1314.81,896.19,5
"건대입구",439,0,0,0,7,870,1604,4678,6654,3835,2170,2187,2407,2618,2819,3136,3613,4576,5506,4445,4575,5071,4795,2580,68585,1077.788,603.785,27
"경복궁",60,0,0,0,1,122,338,910,1175,876,667,909,916,1214,1234,1697,2235,2621,4384,2282,1670,1797,1606,442,27156,719.128,313.009,3
"경찰병원",6,0,0,0,0,78,361,1249,1142,570,488,441,336,357,345,428,456,555,940,496,356,347,226,75,9252,1241.478,840.421,3
"고덕",1,0,0,0,0,133,542,1497,1128,603,484,494,471,469,461,657,765,802,837,442,354,322,295,120,10877,1355.677,671.859,5
"고려대",0,0,0,0,0,158,374,1447,1568,698,389,347,345,468,392,511,763,999,1301,698,612,811,671,287,12839,1025.302,331.115,6
"고속터미널",155,0,0,0,0,494,812,3204,3918,3535,3130,3300,3541,3842,3988,4475,4789,5398,6973,6189,6038,4401,3257,1205,72644,850.837,837.545,37
